Assign Equipment ID,PO Numbers:,Booking Number,Shipment Load Type,Invoice Number,BL / Waybill #,Select Carrier,Updated Transload Location (US Only),Estimated Departure Date,Equipment # Type,Seal Number,CTN QTY,UNITS
JV4206,3000038706,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038715,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038723,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038829,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038835,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038851,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038858,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038873,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000038883,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039006,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039196,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039208,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039232,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039872,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039882,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039895,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039943,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000039955,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040126,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040132,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040167,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040510,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040568,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040577,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040679,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040691,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040707,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000040720,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042014,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042028,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042057,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042073,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042086,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042098,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042105,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042114,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042124,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042682,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000042694,NA,"CFS: LCL, consolidator lod",889,8570648715,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036112,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036124,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036166,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036192,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036204,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036248,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036305,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036355,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036372,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036427,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000058060,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036441,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036455,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036467,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036476,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036488,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036528,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036544,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036578,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036614,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036632,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036654,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036684,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000036693,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
JV4206,3000037449,NA,"CFS: LCL, consolidator lod",890,1670245021,DHL,,"November 3, 2023","Air, Unknown Size",000,1,1
